record_id,kode_wilayah,nama_wilayah,tingkat_wilayah,tahun,topik,kode_indikator,nama_indikator,nilai,satuan,jenis_disagregasi_1,kategori_disagregasi_1,jenis_disagregasi_2,kategori_disagregasi_2,versi_wilayah,dataset_asal
ID-0000074,11,Aceh,provinsi,2024,Komponen pembangunan TIK,mobile_broadband_norm,"Broadband seluler per 100 penduduk, ternormalisasi",9.61,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000075,11,Aceh,provinsi,2024,Komponen pembangunan TIK,mobile_cellular_norm,"Telepon seluler per 100 penduduk, ternormalisasi",10,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000076,11,Aceh,provinsi,2024,Komponen pembangunan TIK,secondary_enrolment_norm,"Partisipasi pendidikan sekunder, ternormalisasi",9.55,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000077,11,Aceh,provinsi,2024,Komponen pembangunan TIK,tertiary_enrolment_norm,"Partisipasi pendidikan tinggi, ternormalisasi",4.16,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_normalized_components_province_2023_2024
ID-0000078,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,11.34,% pengguna internet,area,rural,category,buy_goods_services,id_38_2024,bps_internet_purpose
ID-0000079,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,3.16,% pengguna internet,area,rural,category,digital_content_creation,id_38_2024,bps_internet_purpose
ID-0000080,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,8.27,% pengguna internet,area,rural,category,email,id_38_2024,bps_internet_purpose
ID-0000081,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,80.61,% pengguna internet,area,rural,category,entertainment,id_38_2024,bps_internet_purpose
ID-0000082,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,5.22,% pengguna internet,area,rural,category,financial_services,id_38_2024,bps_internet_purpose
ID-0000083,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,16.92,% pengguna internet,area,rural,category,goods_services_information,id_38_2024,bps_internet_purpose
ID-0000084,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,79.54,% pengguna internet,area,rural,category,news_information,id_38_2024,bps_internet_purpose
